Description	ID	Solanum_lycopersicum	Solanum_appendiculatum	Petunia_inflata	Solanum_tuberosum	Jaltomata_sinuosa	Petunia_axillaris	Nicotiana_attenuata
OG0005360	OG0005360	1	2	1	1	2	1	2
OG0005361	OG0005361	1	1	2	1	2	2	1
OG0005362	OG0005362	1	1	5	0	1	1	1
OG0005363	OG0005363	2	1	2	1	2	1	1
OG0005364	OG0005364	3	6	0	0	1	0	0
OG0005365	OG0005365	1	4	1	1	1	1	1
OG0005366	OG0005366	1	1	2	1	1	1	3
OG0005367	OG0005367	1	1	1	1	1	4	1
OG0005368	OG0005368	2	2	2	1	1	1	1
OG0005369	OG0005369	2	2	0	1	1	0	4
OG0005370	OG0005370	2	1	2	1	1	1	2
OG0005371	OG0005371	4	1	1	2	1	1	0
OG0005372	OG0005372	1	1	1	2	2	1	2
OG0005373	OG0005373	2	1	2	1	1	2	1
OG0005374	OG0005374	1	1	2	1	1	2	2
OG0005375	OG0005375	1	1	1	2	3	1	1
OG0005376	OG0005376	1	1	3	1	1	1	2
OG0005377	OG0005377	1	1	2	1	1	3	1
OG0005378	OG0005378	7	1	0	1	1	0	0
OG0005379	OG0005379	1	1	4	1	1	1	1
OG0005380	OG0005380	2	2	1	2	1	1	1
OG0005381	OG0005381	1	2	1	2	1	1	2
OG0005382	OG0005382	2	1	1	2	1	1	2
OG0005383	OG0005383	3	2	1	2	1	0	1
OG0005384	OG0005384	2	0	1	2	2	1	2
OG0005385	OG0005385	3	1	1	2	1	1	1
OG0005386	OG0005386	1	1	2	1	1	2	2
OG0005387	OG0005387	2	1	2	2	1	1	1
OG0005388	OG0005388	2	1	2	1	1	1	2
OG0005389	OG0005389	2	1	1	1	2	1	2
OG0005390	OG0005390	2	2	1	1	1	1	2
OG0005391	OG0005391	1	1	2	1	1	2	2
OG0005392	OG0005392	1	1	1	0	1	4	2
OG0005393	OG0005393	1	1	2	1	1	2	2
OG0005394	OG0005394	2	1	1	2	1	1	2
OG0005395	OG0005395	2	2	1	1	1	1	2
OG0005396	OG0005396	1	1	2	1	1	2	2
OG0005397	OG0005397	2	2	1	2	1	1	1
OG0005398	OG0005398	1	1	2	2	1	2	1
OG0005399	OG0005399	1	3	1	2	1	1	1
OG0005400	OG0005400	1	1	2	2	1	2	1
OG0005401	OG0005401	4	2	1	0	1	2	0
OG0005402	OG0005402	2	2	2	0	1	3	0
OG0005403	OG0005403	1	1	1	1	1	1	4
OG0005404	OG0005404	1	1	1	1	2	1	3
OG0005405	OG0005405	1	1	2	2	1	2	1
OG0005406	OG0005406	2	2	1	2	1	1	1
OG0005407	OG0005407	1	1	2	1	1	2	2
OG0005408	OG0005408	1	1	3	1	1	2	1
OG0005409	OG0005409	1	1	2	1	1	2	2
OG0005410	OG0005410	2	2	1	1	2	1	1
OG0005411	OG0005411	2	1	2	1	1	2	1
OG0005412	OG0005412	2	0	2	1	1	2	2
OG0005413	OG0005413	1	1	2	1	2	1	2
OG0005414	OG0005414	1	1	2	2	2	1	1
OG0005415	OG0005415	0	1	1	2	2	1	3
OG0005416	OG0005416	2	1	1	2	2	1	1
OG0005417	OG0005417	2	1	1	2	1	2	1
OG0005418	OG0005418	1	1	2	1	2	2	1
OG0005419	OG0005419	2	2	1	2	2	0	1
OG0005420	OG0005420	1	1	2	1	2	2	1
OG0005421	OG0005421	1	1	2	1	1	2	2
OG0005422	OG0005422	1	2	1	1	1	1	3
OG0005423	OG0005423	2	1	2	1	1	1	2
OG0005424	OG0005424	1	1	2	2	1	2	1
OG0005425	OG0005425	1	1	1	3	1	1	2
OG0005426	OG0005426	1	1	2	1	1	2	2
OG0005427	OG0005427	1	1	2	1	1	2	2
OG0005428	OG0005428	2	1	1	2	2	1	1
OG0005429	OG0005429	1	2	1	2	2	1	1
OG0005430	OG0005430	1	1	1	2	2	1	2
OG0005431	OG0005431	1	1	2	1	1	2	2
OG0005432	OG0005432	2	1	2	0	1	2	2
OG0005433	OG0005433	2	2	1	0	2	1	2
OG0005434	OG0005434	2	2	2	1	2	1	0
OG0005435	OG0005435	2	2	2	1	1	1	1
OG0005436	OG0005436	1	1	2	1	1	2	2
OG0005437	OG0005437	1	1	2	1	1	2	2
OG0005438	OG0005438	1	1	2	1	1	2	2
OG0005439	OG0005439	2	2	1	2	1	1	1
OG0005440	OG0005440	7	1	0	0	2	0	0
OG0005441	OG0005441	1	2	1	2	1	1	2
OG0005442	OG0005442	1	1	2	1	1	2	2
OG0005443	OG0005443	1	1	2	1	2	2	1
OG0005444	OG0005444	1	1	2	1	1	2	2
OG0005445	OG0005445	1	1	3	1	1	2	1
OG0005446	OG0005446	3	1	1	1	1	2	1
OG0005447	OG0005447	1	1	3	1	1	2	1
OG0005448	OG0005448	2	2	1	1	2	1	1
OG0005449	OG0005449	1	1	1	2	2	1	2
OG0005450	OG0005450	1	2	1	2	2	1	1
OG0005451	OG0005451	1	1	4	1	1	1	1
OG0005452	OG0005452	1	2	1	2	2	1	1
OG0005453	OG0005453	1	1	2	2	1	1	2
OG0005454	OG0005454	1	1	2	1	2	2	1
OG0005455	OG0005455	2	2	1	2	1	1	1
OG0005456	OG0005456	2	2	1	1	1	1	2
OG0005457	OG0005457	0	0	0	9	1	0	0
OG0005458	OG0005458	1	1	3	1	1	2	1
OG0005459	OG0005459	1	2	1	3	1	1	1
OG0005460	OG0005460	2	1	1	3	1	1	1
OG0005461	OG0005461	1	2	1	2	1	2	1
OG0005462	OG0005462	1	1	2	1	1	2	2
OG0005463	OG0005463	1	1	1	1	1	1	4
OG0005464	OG0005464	1	1	2	1	2	1	2
OG0005465	OG0005465	2	1	2	1	2	2	0
OG0005466	OG0005466	2	1	1	3	1	1	1
OG0005467	OG0005467	2	1	1	2	2	1	1
OG0005468	OG0005468	2	1	2	1	1	2	1
OG0005469	OG0005469	1	1	2	1	1	2	2
OG0005470	OG0005470	1	1	2	1	1	2	2
OG0005471	OG0005471	2	0	2	1	1	2	2
OG0005472	OG0005472	1	1	2	1	1	2	2
OG0005473	OG0005473	1	1	2	1	1	2	2
OG0005474	OG0005474	1	1	2	1	1	2	2
OG0005475	OG0005475	1	1	2	1	1	2	2
OG0005476	OG0005476	1	1	2	1	1	3	1
OG0005477	OG0005477	1	1	2	1	1	2	2
OG0005478	OG0005478	1	2	1	1	2	1	2
OG0005479	OG0005479	1	1	2	1	1	2	2
OG0005480	OG0005480	1	2	2	1	1	2	1
OG0005481	OG0005481	1	2	2	2	1	1	1
OG0005482	OG0005482	1	1	2	1	2	2	1
OG0005483	OG0005483	1	1	2	1	1	2	2
OG0005484	OG0005484	1	1	2	1	1	2	2
OG0005485	OG0005485	2	0	1	2	1	3	1
OG0005486	OG0005486	1	1	1	2	1	2	2
OG0005487	OG0005487	1	1	3	1	1	2	1
OG0005488	OG0005488	3	3	1	0	3	0	0
OG0005489	OG0005489	1	1	2	1	1	2	2
OG0005490	OG0005490	1	2	2	1	1	2	1
OG0005491	OG0005491	1	1	2	1	1	2	2
OG0005492	OG0005492	1	1	1	4	1	1	1
OG0005493	OG0005493	1	1	2	1	1	2	2
OG0005494	OG0005494	1	1	2	1	2	2	1
OG0005495	OG0005495	2	1	2	1	1	1	2
OG0005496	OG0005496	1	0	3	1	1	3	1
OG0005497	OG0005497	1	1	2	1	1	2	2
OG0005498	OG0005498	1	1	2	1	2	1	2
OG0005499	OG0005499	4	3	0	0	2	0	1
OG0005500	OG0005500	3	1	1	2	2	1	0
OG0005501	OG0005501	1	1	1	2	2	2	1
OG0005502	OG0005502	2	2	1	2	1	1	1
OG0005503	OG0005503	1	4	1	1	1	1	1
OG0005504	OG0005504	1	1	3	1	1	2	1
OG0005505	OG0005505	1	1	1	1	3	1	2
OG0005506	OG0005506	2	0	1	3	1	1	2
OG0005507	OG0005507	2	2	1	2	1	1	1
OG0005508	OG0005508	3	2	1	1	1	1	1
OG0005509	OG0005509	2	1	2	1	1	1	2
OG0005510	OG0005510	1	1	2	1	1	2	2
OG0005511	OG0005511	2	2	1	2	1	1	1
OG0005512	OG0005512	1	1	3	2	1	1	1
OG0005513	OG0005513	2	2	1	2	1	1	1
OG0005514	OG0005514	1	1	1	2	1	1	3
OG0005515	OG0005515	1	1	1	3	1	1	2
OG0005516	OG0005516	1	5	1	1	1	1	0
OG0005517	OG0005517	1	0	2	1	1	3	2
OG0005518	OG0005518	1	1	2	1	1	2	2
OG0005519	OG0005519	2	2	2	1	1	1	1
OG0005520	OG0005520	2	1	1	2	1	1	2
OG0005521	OG0005521	1	2	3	1	1	2	0
OG0005522	OG0005522	2	1	2	2	1	1	1
OG0005523	OG0005523	1	1	2	1	1	2	2
OG0005524	OG0005524	2	2	2	1	1	1	1
OG0005525	OG0005525	1	1	2	1	1	3	1
OG0005526	OG0005526	1	1	2	1	1	2	2
OG0005527	OG0005527	2	2	1	1	1	1	2
OG0005528	OG0005528	1	2	2	0	2	2	1
OG0005529	OG0005529	1	0	2	1	1	2	3
OG0005530	OG0005530	1	2	2	1	1	2	1
OG0005531	OG0005531	2	2	1	1	2	1	1
OG0005532	OG0005532	2	2	1	2	1	1	1
OG0005533	OG0005533	1	3	1	3	1	1	0
OG0005534	OG0005534	3	1	2	0	1	2	1
OG0005535	OG0005535	2	1	2	1	1	2	1
OG0005536	OG0005536	1	1	2	1	1	2	2
OG0005537	OG0005537	2	2	1	2	1	1	1
OG0005538	OG0005538	0	0	0	1	2	0	7
OG0005539	OG0005539	1	1	2	1	1	2	2
OG0005540	OG0005540	1	1	2	1	1	2	2
OG0005541	OG0005541	1	1	2	1	1	2	2
OG0005542	OG0005542	1	1	1	1	2	2	2
OG0005543	OG0005543	1	1	2	1	1	2	2
OG0005544	OG0005544	1	1	2	1	1	2	2
OG0005545	OG0005545	1	1	2	1	1	3	1
OG0005546	OG0005546	1	1	1	1	1	2	3
OG0005547	OG0005547	1	3	1	1	2	1	1
OG0005548	OG0005548	1	1	2	1	1	2	2
OG0005549	OG0005549	2	2	1	2	1	1	1
OG0005550	OG0005550	0	2	2	1	1	2	2
OG0005551	OG0005551	2	0	1	2	2	1	2
OG0005552	OG0005552	2	2	2	0	1	2	1
OG0005553	OG0005553	1	1	1	2	2	1	2
OG0005554	OG0005554	2	2	1	2	1	0	2
OG0005555	OG0005555	1	1	2	2	1	1	2
OG0005556	OG0005556	1	1	3	1	2	1	1
OG0005557	OG0005557	1	1	2	1	1	3	1
OG0005558	OG0005558	2	2	1	2	1	1	1
OG0005559	OG0005559	2	2	1	1	2	1	1
OG0005560	OG0005560	1	1	1	4	1	1	1
OG0005561	OG0005561	1	1	2	2	1	2	1
OG0005562	OG0005562	1	3	2	2	1	1	0
OG0005563	OG0005563	1	1	3	1	1	2	1
OG0005564	OG0005564	1	1	2	1	1	2	2
OG0005565	OG0005565	1	1	4	1	1	1	1
OG0005566	OG0005566	1	1	2	1	1	2	2
OG0005567	OG0005567	1	1	3	1	1	2	1
OG0005568	OG0005568	1	1	2	1	3	1	1
OG0005569	OG0005569	1	1	3	0	1	2	2
OG0005570	OG0005570	3	2	1	1	1	1	1
OG0005571	OG0005571	0	0	2	0	2	5	1
OG0005572	OG0005572	1	1	2	2	1	2	1
OG0005573	OG0005573	0	1	3	3	2	1	0
OG0005574	OG0005574	1	1	3	1	1	2	1
OG0005575	OG0005575	2	2	1	1	1	2	1
OG0005576	OG0005576	1	1	2	1	1	2	2
OG0005577	OG0005577	1	1	3	1	1	2	1
OG0005578	OG0005578	2	2	1	2	1	1	1
OG0005579	OG0005579	1	1	2	1	1	2	2
OG0005580	OG0005580	1	2	3	0	1	1	2
OG0005581	OG0005581	2	2	1	2	1	1	1
OG0005582	OG0005582	2	2	1	1	1	1	2
OG0005583	OG0005583	1	1	2	1	1	2	2
OG0005584	OG0005584	1	1	2	1	1	2	2
OG0005585	OG0005585	1	3	2	1	1	2	0
OG0005586	OG0005586	2	2	1	2	1	1	1
OG0005587	OG0005587	1	2	2	1	1	1	2
OG0005588	OG0005588	1	1	3	1	1	2	1
OG0005589	OG0005589	2	2	1	1	1	1	2
OG0005590	OG0005590	1	1	2	1	1	3	1
OG0005591	OG0005591	2	2	2	0	1	2	1
OG0005592	OG0005592	1	1	2	1	1	3	1
OG0005593	OG0005593	1	2	2	1	1	2	1
OG0005594	OG0005594	1	1	2	1	1	2	2
OG0005595	OG0005595	2	2	1	0	2	1	2
OG0005596	OG0005596	2	2	1	2	1	1	1
OG0005597	OG0005597	1	1	2	2	1	2	1
OG0005598	OG0005598	1	2	2	1	1	2	1
OG0005599	OG0005599	1	1	2	1	1	2	2
OG0005600	OG0005600	2	1	1	2	2	1	1
OG0005601	OG0005601	1	1	2	1	1	2	2
OG0005602	OG0005602	3	1	1	2	1	1	1
OG0005603	OG0005603	1	1	2	1	1	2	2
OG0005604	OG0005604	2	1	1	2	1	1	2
OG0005605	OG0005605	1	2	2	1	1	2	1
OG0005606	OG0005606	2	1	2	1	1	2	1
OG0005607	OG0005607	1	1	3	1	1	2	1
OG0005608	OG0005608	2	1	2	1	2	1	1
OG0005609	OG0005609	1	1	3	1	1	1	2
OG0005610	OG0005610	2	1	2	1	1	2	1
OG0005611	OG0005611	1	1	1	2	2	2	1
OG0005612	OG0005612	2	2	1	2	1	1	1
OG0005613	OG0005613	1	0	2	1	1	2	3
OG0005614	OG0005614	1	1	1	3	1	1	2
OG0005615	OG0005615	1	2	2	1	1	2	1
OG0005616	OG0005616	1	1	2	1	1	2	2
OG0005617	OG0005617	2	2	1	2	1	1	1
OG0005618	OG0005618	1	1	2	1	1	2	2
OG0005619	OG0005619	2	1	1	2	1	1	2
OG0005620	OG0005620	2	2	2	1	1	1	1
OG0005621	OG0005621	2	2	1	1	2	1	1
OG0005622	OG0005622	1	1	2	1	1	2	2
OG0005623	OG0005623	1	1	2	1	1	2	2
OG0005624	OG0005624	1	1	2	1	1	2	2
OG0005625	OG0005625	1	1	2	1	1	2	2
OG0005626	OG0005626	1	1	1	2	1	1	3
OG0005627	OG0005627	1	1	2	1	1	2	2
OG0005628	OG0005628	2	1	1	2	1	1	2
OG0005629	OG0005629	2	2	1	2	1	2	0
OG0005630	OG0005630	1	1	2	1	1	2	2
OG0005631	OG0005631	1	1	0	1	1	2	4
OG0005632	OG0005632	3	1	2	0	2	1	1
OG0005633	OG0005633	2	1	1	2	1	1	2
OG0005634	OG0005634	1	2	1	1	2	1	2
OG0005635	OG0005635	1	1	3	1	1	2	1
OG0005636	OG0005636	3	1	2	2	1	1	0
OG0005637	OG0005637	3	1	1	2	1	1	1
OG0005638	OG0005638	1	0	2	1	3	2	1
OG0005639	OG0005639	1	1	2	1	1	2	2
OG0005640	OG0005640	1	1	2	1	1	2	2
OG0005641	OG0005641	1	1	2	1	2	1	2
OG0005642	OG0005642	1	1	2	1	1	2	2
OG0005643	OG0005643	1	1	3	1	1	2	1
OG0005644	OG0005644	1	1	2	1	1	2	2
OG0005645	OG0005645	1	1	2	1	1	3	1
OG0005646	OG0005646	1	1	2	1	1	2	2
OG0005647	OG0005647	1	1	3	1	1	2	1
OG0005648	OG0005648	1	1	2	1	1	2	2
OG0005649	OG0005649	1	1	2	1	1	2	2
OG0005650	OG0005650	1	1	1	4	1	2	0
OG0005651	OG0005651	1	1	2	1	1	2	2
OG0005652	OG0005652	2	2	1	1	1	1	2
OG0005653	OG0005653	1	1	3	1	1	2	1
OG0005654	OG0005654	1	1	3	1	1	2	1
OG0005655	OG0005655	1	1	3	0	2	2	1
OG0005656	OG0005656	2	2	2	0	1	2	1
OG0005657	OG0005657	2	1	2	1	1	2	1
OG0005658	OG0005658	2	0	1	1	0	5	1
OG0005659	OG0005659	0	1	1	1	0	0	7
OG0005660	OG0005660	1	2	0	4	0	0	3
OG0005661	OG0005661	2	2	2	1	0	2	1
OG0005662	OG0005662	0	0	2	0	0	0	8
OG0005663	OG0005663	0	0	0	2	0	1	7
OG0005664	OG0005664	0	0	0	0	0	0	10
OG0005665	OG0005665	2	1	2	0	0	2	3
OG0005666	OG0005666	3	1	0	0	0	0	6
OG0005667	OG0005667	1	5	1	1	0	1	1
OG0005668	OG0005668	3	0	0	4	0	0	3
OG0005669	OG0005669	1	1	3	1	0	2	2
OG0005670	OG0005670	0	0	1	0	0	1	8
OG0005671	OG0005671	1	0	2	1	0	2	4
OG0005672	OG0005672	0	0	0	0	0	0	10
OG0005673	OG0005673	1	4	1	1	0	1	2
OG0005674	OG0005674	1	0	0	3	0	3	3
OG0005675	OG0005675	1	0	4	1	0	1	3
OG0005676	OG0005676	1	1	3	1	0	3	1
OG0005677	OG0005677	2	2	3	0	0	2	1
OG0005678	OG0005678	3	1	2	2	0	1	1
OG0005679	OG0005679	1	1	3	1	0	2	2
OG0005680	OG0005680	1	2	2	1	0	2	2
OG0005681	OG0005681	2	4	0	2	0	1	1
OG0005682	OG0005682	1	1	2	2	0	2	2
OG0005683	OG0005683	1	0	3	1	0	3	2
OG0005684	OG0005684	0	3	3	0	0	3	1
OG0005685	OG0005685	1	2	3	3	0	0	1
OG0005686	OG0005686	2	1	2	3	0	1	1
OG0005687	OG0005687	1	1	2	1	0	3	2
OG0005688	OG0005688	1	3	2	2	0	1	1
OG0005689	OG0005689	2	2	2	2	0	1	1
OG0005690	OG0005690	2	1	2	2	0	1	2
OG0005691	OG0005691	2	1	2	1	0	2	2
OG0005692	OG0005692	1	2	1	4	0	1	1
OG0005693	OG0005693	2	1	4	0	0	2	1
OG0005694	OG0005694	1	2	2	2	0	3	0
OG0005695	OG0005695	1	1	5	1	0	2	0
OG0005696	OG0005696	0	0	3	0	0	7	0
OG0005697	OG0005697	3	1	2	1	0	3	0
OG0005698	OG0005698	0	0	5	0	0	5	0
OG0005699	OG0005699	5	2	0	0	0	3	0
OG0005700	OG0005700	0	0	6	0	0	4	0
OG0005701	OG0005701	6	1	2	0	0	1	0
OG0005702	OG0005702	0	1	4	0	0	5	0
OG0005703	OG0005703	2	3	2	0	0	3	0
OG0005704	OG0005704	1	3	2	2	0	2	0
OG0005705	OG0005705	1	0	3	3	0	3	0
OG0005706	OG0005706	1	0	3	2	0	4	0
OG0005707	OG0005707	2	5	1	0	0	2	0
OG0005708	OG0005708	0	5	0	5	0	0	0
OG0005709	OG0005709	1	6	0	3	0	0	0
OG0005710	OG0005710	4	5	0	1	0	0	0
OG0005711	OG0005711	5	4	0	1	0	0	0
OG0005712	OG0005712	0	5	0	5	0	0	0
OG0005713	OG0005713	7	1	0	2	0	0	0
OG0005714	OG0005714	0	2	0	8	0	0	0
OG0005715	OG0005715	1	8	0	1	0	0	0
OG0005716	OG0005716	2	4	0	4	0	0	0
OG0005717	OG0005717	1	8	0	1	0	0	0
OG0005718	OG0005718	2	4	0	4	0	0	0
OG0005719	OG0005719	7	1	0	2	0	0	0
OG0005720	OG0005720	2	2	0	6	0	0	0
OG0005721	OG0005721	1	4	0	5	0	0	0
OG0005722	OG0005722	1	4	0	5	0	0	0
OG0005723	OG0005723	0	1	0	9	0	0	0
OG0005724	OG0005724	1	7	0	2	0	0	0
OG0005725	OG0005725	0	0	0	10	0	0	0
OG0005726	OG0005726	0	1	0	0	8	0	0
OG0005727	OG0005727	1	1	1	1	3	1	1
OG0005728	OG0005728	0	1	1	1	4	0	2
OG0005729	OG0005729	1	1	1	1	3	1	1
OG0005730	OG0005730	1	1	1	1	2	1	2
OG0005731	OG0005731	1	1	1	1	2	1	2
OG0005732	OG0005732	1	1	2	1	2	1	1
OG0005733	OG0005733	1	1	2	1	1	2	1
OG0005734	OG0005734	1	2	1	1	2	1	1
OG0005735	OG0005735	2	1	2	1	1	1	1
OG0005736	OG0005736	1	1	2	1	1	2	1
OG0005737	OG0005737	2	2	0	3	2	0	0
OG0005738	OG0005738	1	2	1	2	1	1	1
OG0005739	OG0005739	1	2	1	1	1	1	2
OG0005740	OG0005740	1	1	1	2	1	1	2
OG0005741	OG0005741	0	0	1	0	8	0	0
OG0005742	OG0005742	2	1	1	2	1	1	1
OG0005743	OG0005743	1	1	1	1	3	1	1
OG0005744	OG0005744	1	1	2	1	1	1	2
OG0005745	OG0005745	1	1	1	2	2	1	1
OG0005746	OG0005746	1	1	1	1	2	2	1
OG0005747	OG0005747	2	1	2	1	1	1	1
OG0005748	OG0005748	1	2	1	1	2	1	1
OG0005749	OG0005749	2	1	1	1	1	1	2
OG0005750	OG0005750	1	1	2	1	1	2	1
OG0005751	OG0005751	1	1	2	0	1	2	2
OG0005752	OG0005752	2	0	1	2	1	1	2
OG0005753	OG0005753	2	2	1	0	1	1	2
OG0005754	OG0005754	1	1	1	1	3	1	1
OG0005755	OG0005755	1	2	1	1	2	1	1
OG0005756	OG0005756	1	1	3	1	1	1	1
OG0005757	OG0005757	0	0	4	0	1	0	4
OG0005758	OG0005758	1	1	1	1	2	1	2
OG0005759	OG0005759	0	0	2	0	3	4	0
OG0005760	OG0005760	1	2	1	2	1	1	1
OG0005761	OG0005761	1	1	1	1	1	2	2
OG0005762	OG0005762	1	1	1	1	2	1	2
OG0005763	OG0005763	1	1	2	0	1	3	1
OG0005764	OG0005764	1	1	2	1	1	2	1
OG0005765	OG0005765	1	1	2	2	1	1	1
OG0005766	OG0005766	1	1	1	1	2	1	2
OG0005767	OG0005767	1	1	1	1	2	1	2
OG0005768	OG0005768	1	1	1	1	2	1	2
OG0005769	OG0005769	1	1	2	2	1	1	1
OG0005770	OG0005770	1	2	1	1	2	1	1
OG0005771	OG0005771	1	1	2	1	1	2	1
OG0005772	OG0005772	1	1	1	1	2	1	2
OG0005773	OG0005773	2	1	2	1	1	1	1
OG0005774	OG0005774	1	3	1	1	1	1	1
OG0005775	OG0005775	1	1	1	1	2	1	2
OG0005776	OG0005776	1	1	2	1	2	1	1
OG0005777	OG0005777	1	1	1	1	1	1	3
OG0005778	OG0005778	1	1	1	1	1	1	3
OG0005779	OG0005779	1	2	1	1	1	1	2
OG0005780	OG0005780	0	1	0	1	6	0	1
OG0005781	OG0005781	2	1	1	1	2	1	1
OG0005782	OG0005782	0	2	1	2	2	1	1
OG0005783	OG0005783	2	0	2	1	1	2	1
OG0005784	OG0005784	2	1	1	1	1	1	2
OG0005785	OG0005785	2	1	1	2	1	1	1
OG0005786	OG0005786	1	1	2	1	1	2	1
OG0005787	OG0005787	2	1	0	2	2	1	1
OG0005788	OG0005788	1	1	2	1	1	2	1
OG0005789	OG0005789	1	2	1	1	2	1	1
OG0005790	OG0005790	1	1	1	2	2	1	1
OG0005791	OG0005791	3	1	1	1	1	1	1
OG0005792	OG0005792	1	1	1	1	1	1	3
OG0005793	OG0005793	1	1	2	1	1	2	1
OG0005794	OG0005794	1	1	2	1	1	2	1
OG0005795	OG0005795	1	1	2	1	1	2	1
OG0005796	OG0005796	1	2	2	1	1	1	1
OG0005797	OG0005797	1	1	2	1	1	2	1
OG0005798	OG0005798	1	1	2	1	1	2	1
OG0005799	OG0005799	1	1	1	1	1	2	2
OG0005800	OG0005800	1	1	1	2	1	1	2
OG0005801	OG0005801	1	1	1	1	4	1	0
OG0005802	OG0005802	0	4	0	1	4	0	0
OG0005803	OG0005803	2	3	0	1	3	0	0
OG0005804	OG0005804	2	0	1	3	2	1	0
OG0005805	OG0005805	0	1	0	1	1	0	6
OG0005806	OG0005806	2	1	1	1	2	1	1
OG0005807	OG0005807	1	1	1	2	2	1	1
OG0005808	OG0005808	1	2	2	0	1	1	2
OG0005809	OG0005809	2	1	1	2	1	1	1
OG0005810	OG0005810	1	1	2	1	1	1	2
OG0005811	OG0005811	1	1	1	1	2	1	2
OG0005812	OG0005812	2	1	1	2	1	1	1
OG0005813	OG0005813	1	1	3	1	1	2	0
OG0005814	OG0005814	1	1	2	1	1	2	1
OG0005815	OG0005815	1	1	1	2	2	1	1
OG0005816	OG0005816	1	2	1	1	2	1	1
OG0005817	OG0005817	1	1	1	1	3	1	1
OG0005818	OG0005818	1	1	2	1	1	2	1
OG0005819	OG0005819	1	1	1	1	1	1	3
OG0005820	OG0005820	1	1	1	1	1	2	2
OG0005821	OG0005821	1	1	2	1	1	2	1
OG0005822	OG0005822	1	1	2	1	1	2	1
OG0005823	OG0005823	2	2	1	1	1	1	1
OG0005824	OG0005824	1	1	1	2	2	1	1
OG0005825	OG0005825	1	1	2	0	1	2	2
OG0005826	OG0005826	1	1	2	1	1	2	1
OG0005827	OG0005827	1	1	1	1	1	1	3
OG0005828	OG0005828	2	2	2	2	1	0	0
OG0005829	OG0005829	1	1	2	1	1	2	1
OG0005830	OG0005830	1	1	2	1	1	2	1
OG0005831	OG0005831	1	2	1	1	1	1	2
OG0005832	OG0005832	1	1	2	1	1	1	2
OG0005833	OG0005833	2	2	0	1	2	1	1
OG0005834	OG0005834	1	1	1	1	2	1	2
OG0005835	OG0005835	0	3	0	2	4	0	0
OG0005836	OG0005836	1	1	1	2	2	1	1
OG0005837	OG0005837	1	1	2	1	1	2	1
OG0005838	OG0005838	1	1	2	1	1	2	1
OG0005839	OG0005839	1	1	2	1	1	2	1
OG0005840	OG0005840	1	1	2	1	1	2	1
OG0005841	OG0005841	1	1	1	1	2	1	2
OG0005842	OG0005842	0	1	3	0	1	3	1
OG0005843	OG0005843	1	2	1	2	1	1	1
OG0005844	OG0005844	0	5	0	1	3	0	0
OG0005845	OG0005845	1	2	0	3	1	1	1
OG0005846	OG0005846	1	1	2	1	1	2	1
OG0005847	OG0005847	1	1	2	1	1	2	1
OG0005848	OG0005848	1	1	1	1	2	1	2
OG0005849	OG0005849	1	2	1	2	1	1	1
OG0005850	OG0005850	1	2	2	1	1	1	1
OG0005851	OG0005851	3	1	1	1	1	1	1
OG0005852	OG0005852	1	1	2	1	1	2	1
OG0005853	OG0005853	1	1	1	1	3	1	1
OG0005854	OG0005854	2	1	1	2	1	1	1
OG0005855	OG0005855	1	1	2	1	1	1	2
OG0005856	OG0005856	2	1	1	2	1	1	1
OG0005857	OG0005857	2	1	1	1	2	1	1
OG0005858	OG0005858	1	1	2	1	1	2	1
OG0005859	OG0005859	1	1	1	3	1	1	1
OG0005860	OG0005860	1	1	1	3	1	1	1
OG0005861	OG0005861	1	1	2	1	1	1	2
OG0005862	OG0005862	1	1	2	1	1	2	1
OG0005863	OG0005863	1	1	1	1	2	1	2
OG0005864	OG0005864	1	2	1	1	2	1	1
OG0005865	OG0005865	1	1	1	1	2	1	2
OG0005866	OG0005866	1	2	1	1	1	1	2
OG0005867	OG0005867	0	2	0	1	1	0	5
OG0005868	OG0005868	1	2	2	1	3	0	0
OG0005869	OG0005869	1	1	2	2	1	1	1
OG0005870	OG0005870	1	2	1	1	1	2	1
OG0005871	OG0005871	1	1	1	2	2	1	1
OG0005872	OG0005872	1	1	2	1	1	2	1
OG0005873	OG0005873	1	1	2	1	1	2	1
OG0005874	OG0005874	1	1	2	1	1	2	1
OG0005875	OG0005875	1	1	1	1	1	2	2
OG0005876	OG0005876	1	3	0	1	2	1	1
OG0005877	OG0005877	0	1	4	1	1	1	1
OG0005878	OG0005878	1	1	3	1	1	1	1
OG0005879	OG0005879	1	1	0	0	4	1	2
OG0005880	OG0005880	3	1	0	1	2	0	2
OG0005881	OG0005881	1	2	1	2	1	1	1
OG0005882	OG0005882	1	1	1	2	2	1	1
OG0005883	OG0005883	1	1	2	1	1	2	1
OG0005884	OG0005884	1	1	1	1	2	2	1
OG0005885	OG0005885	1	3	1	2	1	0	1
OG0005886	OG0005886	1	1	2	1	2	1	1
OG0005887	OG0005887	1	1	1	1	2	1	2
OG0005888	OG0005888	1	1	1	5	1	0	0
OG0005889	OG0005889	1	1	1	1	2	1	2
OG0005890	OG0005890	1	1	3	1	1	1	1
OG0005891	OG0005891	2	1	1	1	3	1	0
OG0005892	OG0005892	1	1	2	1	1	2	1
OG0005893	OG0005893	1	1	2	0	1	1	3
OG0005894	OG0005894	1	1	3	1	1	1	1
